"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","56,727.98","57,835.50","57,835.50","56,672.46","307.13M","-1.90%"
"04/29/2024","57,827.86","57,890.49","58,110.16","57,516.05","222.98M","-0.01%"
"04/26/2024","57,833.85","57,072.96","57,991.77","56,870.17","156.98M","1.31%"
"04/25/2024","57,085.84","56,619.09","57,282.33","56,209.61","264.89M","1.10%"
"04/24/2024","56,463.99","56,622.16","56,825.49","56,189.64","254.69M","-0.30%"
"04/23/2024","56,633.75","56,564.58","56,902.71","56,320.14","204.29M","0.14%"
"04/22/2024","56,551.90","55,852.28","56,615.88","55,772.22","183.16M","1.23%"
"04/19/2024","55,862.85","55,811.19","56,032.55","55,579.69","138.62M","0.22%"
"04/18/2024","55,739.43","55,597.79","55,941.62","55,592.62","208.67M","0.58%"
"04/17/2024","55,415.69","55,788.74","56,088.36","55,385.85","244.26M","-0.68%"
"04/16/2024","55,797.25","56,009.73","56,147.00","55,626.75","225.86M","-0.33%"
"04/15/2024","55,984.00","56,536.47","56,708.34","55,931.03","170.65M","-1.03%"
"04/12/2024","56,565.92","56,918.48","57,232.70","56,500.94","147.84M","-0.47%"
"04/11/2024","56,830.32","56,696.32","56,876.65","56,488.58","200.97M","0.34%"
"04/10/2024","56,636.54","57,541.86","57,541.86","56,384.19","210.38M","-1.62%"
"04/09/2024","57,571.15","58,010.37","58,298.77","57,493.99","202.21M","-0.72%"
"04/08/2024","57,989.94","58,021.66","58,192.32","57,749.57","154.64M","-0.18%"
"04/05/2024","58,092.44","57,805.19","58,227.84","57,678.70","212.25M","0.36%"
"04/04/2024","57,882.76","57,539.47","58,207.42","57,516.25","184.74M","0.66%"
"04/03/2024","57,503.39","57,547.19","58,079.39","57,300.11","189.29M","-0.14%"
"04/02/2024","57,581.81","57,593.62","57,823.31","57,235.59","180.75M","-0.12%"
"04/01/2024","57,653.23","57,423.51","57,726.08","57,294.91","165.03M","0.50%"
